3 Bion | Vitamin B1, B6 & B12 | Tablet | 100 mg+200 mg+200 mcg | Jenphar Bangladesh Ltd.
3 Bion | Vitamin B1, B6 & B12 | Tablet | 100 mg+200 mg+200 mcg | Jenphar Bangladesh Ltd.
3-C | Cefixime Trihydrate | Capsule | 200 mg | Edruc Limited
3-C | Cefixime Trihydrate | Powder for Suspension | 100 mg/5 ml | Edruc Limited
3-C | Cefixime Trihydrate | Capsule | 400 mg | Edruc Limited
3-F | Levofloxacin Hemihydrate | Tablet | 500 mg | Edruc Limited
3-Geocef | Cefixime Trihydrate | Capsule | 200 mg | Hallmark Pharmaceuticals Ltd.
3-Geocef | Cefixime Trihydrate | Powder for Suspension | 100 mg/5 ml | Hallmark Pharmaceuticals Ltd.
3D | Cholecalciferol [Vitamin D3] | Capsule | 20000 IU | Jenphar Bangladesh Ltd.
3D | Cholecalciferol [Vitamin D3] | Capsule | 40000 IU | Jenphar Bangladesh Ltd.
3D | Cholecalciferol [Vitamin D3] | Tablet | 2000 IU | Jenphar Bangladesh Ltd.
3RD Cef | Cefixime Trihydrate | Tablet | 200 mg | Medimet Pharmaceuticals Ltd.
3RD Cef | Cefixime Trihydrate | Tablet | 400 mg | Medimet Pharmaceuticals Ltd.
3RD Cef | Cefixime Trihydrate | Powder for Suspension | 100 mg/5 ml | Medimet Pharmaceuticals Ltd.
5 FU PhaRes | Fluorouracil | IV Injection or Infusion | 25 mg/ml | ZAS Corporation
5-Fluril | Fluorouracil | IV Injection or Infusion | 25 mg/ml | Techno Drugs Ltd.
5X | Ulipristal Acetate [For emergency contraception] | Tablet | 30 mg | Renata Limited
A-B1 | Thiamine Hydrochloride | Tablet | 100 mg | ACME Laboratories Ltd.
A-Cal | Calcium Carbonate [Elemental source] | Tablet | 500 mg | ACME Laboratories Ltd.
A-Cal D | Calcium Carbonate [Elemental source] + Vitamin D3 | Tablet | 500 mg+200 IU | ACME Laboratories Ltd.
A-Cal DX | Calcium Carbonate [Elemental source] + Vitamin D3 | Tablet | 500 mg+400 IU | ACME Laboratories Ltd.
A-Calm | Tolperisone Hydrochloride | Tablet | 50 mg | ACME Laboratories Ltd.
A-Card | Isosorbide Mononitrate | Tablet | 20 mg | ACME Laboratories Ltd.
A-Care | Betacarotene + Vitamin C + Vitamin E | Tablet | 6 mg+200 mg+50 mg | Asiatic Laboratories Ltd.
A-Clox | Cloxacillin Sodium | Capsule | 500 mg | ACME Laboratories Ltd.
A-Clox | Cloxacillin Sodium | Powder for Suspension | 125 mg/5 ml | ACME Laboratories Ltd.
A-Clox | Cloxacillin Sodium | Injection | 250 mg/vial | ACME Laboratories Ltd.
A-Clox | Cloxacillin Sodium | Injection | 500 mg/vial | ACME Laboratories Ltd.
A-Cof | Dextromethorphan + Pseudoephedrine + Triprolidine | Syrup | (10 mg+30 mg+1.25 mg)/5 ml | ACME Laboratories Ltd.
A-Cold | Bromhexine Hydrochloride | Syrup | 4 mg/5 ml | ACME Laboratories Ltd.
A-Fenac | Diclofenac Sodium | Tablet | 25 mg | ACME Laboratories Ltd.
A-Fenac | Diclofenac Sodium | Tablet | 50 mg | ACME Laboratories Ltd.
A-Fenac | Diclofenac Sodium | IM Injection | 75 mg/3 ml | ACME Laboratories Ltd.
A-Fenac | Diclofenac Sodium | Suppository | 12.5 mg | ACME Laboratories Ltd.
